"user_id","cafe_id","score","txt"
"6","1","5","上菜速度很快！店裡有一隻親人可以摸的貓咪🐱還會喵喵叫撒嬌討摸超可愛😍 千層麵有點彈性，跟一般的不太一樣。酥皮濃湯也非常好喝！ …"
"7","1","5","有重新裝潢過
墨魚燉飯是我吃過最好吃的
炒義大利麵也很好吃 …"
"8","1","4","驚奇鬆餅退步好多!!嚇到的差異
送上來吃起來都軟軟的(指外皮不是內陷麻糬)
感覺配方有改 飲料選擇很少 但可以續杯~~
炸魚好吃"
"8","50","5","來訪兩次才成功
第一次大熱天前面有兩組客人再等 等了30分鐘後放棄
這次終於成功來訪-----秘訣就是14:00開門馬上到 這樣可以成為店家第一組客人 …"
"8","18","5","有可愛的貓!!!!! 會在你身上睡覺
咖啡中等水準 甜點厲害
整體文青綠意盎然又平價
貓咪讓人舒壓"
"8","13","5","手沖平價好喝 檸檬蛋糕好吃
店家推薦的蛋糕 很Q軟好吃
布丁不推薦 …"
"8","32","5","客人滿滿滿!!!現在剛好有促銷活動 同品項第二杯半價
點了冰熱拿鐵(很好喝~比較濃)
店內很多小巧思 最可愛的非屬貓咪了(有燙傷過要順毛摸喔)!!
推一個"
"8","38","5","小巷弄裡的咖啡廳 坐位不多
感覺是可以躲起來的小地方 店狗狗可愛-寵物友善
咖啡好喝"
"8","49","5","環境舒適 試營運有打折 咖啡喝了馬上醒腦
桌子都可以升降很酷！
不錯喝但有點小杯 小貴"
"8","44","4","建國路巷弄咖啡廳~其實車停在中山路停車格走小巷進來很快到
整體裝潢很不錯-很適合網美來訪
冷氣夠冷 也很舒適 有一層區域要脫鞋 …"
"8","28","5","北昌國小對面的宸誼咖啡
一進去就感受到滿滿的親切感
裡面有很適合親子的閱讀共享區
咖啡平價 鬆餅好吃 推薦唷"
"8","26","5","店內座位不多 以外帶為主
內用低消是一杯飲料
司康有點乾 但還算不錯"
"8","27","4","早午餐$280看起來豐盛但吃不飽
沙拉新鮮 蛋好少 麵包還不錯 雞腿煎的普通
義大利麵的麵條偏台式$179
咖啡不錯 隨餐換可扣抵’$20‘"
"8","3","5","香草鬆餅很香好吃
熱玫瑰茶不錯喝"
"8","35","5","乾淨 舒服 自在 咖啡超好喝
適合待一下午的咖啡廳
超級推薦自由配甜點套餐 大推鬆餅  鮮奶油非常好吃
義式1+1很好喝~"
"9","1","5","餐點好吃，份量大，也有貓咪可以摸很親人"
"10","1","5","鬆餅超級好吃❤️店內環境寬敞舒適！還有可愛的貓咪🥰非常推薦👍🏻 …"
"11","1","5","作為一位重視風味與細節的美食愛好者，這次造訪花蓮的「驚奇咖啡館」，整體體驗非常值得推薦。首先，餐點呈現兼顧美感與口味。招牌麻糬鬆餅名不虛傳，外酥內軟的鬆餅搭配彈牙麻糬與香濃黑糖醬，甜而不膩，層次豐富，是讓人吃完會回味的甜點。主餐部分，試了迷迭香雞腿排火候掌握得恰到好處，醬汁濃郁卻不過重，雞腿皮酥肉嫩，香氣味道自然融合，展現出店家對食材的用心。 …"
"12","1","5","修改過後第一次進來，裡面好漂亮😍，餐點也好吃😋 …"
"13","1","5","美味佳餚，值得再來"
"14","1","5","餐點很好吃，點這樣一桌不到1000覺得很划算，炸魚很好吃，但沒點到蛤蜊青醬的飯和麵，可惜了！
下次再訪"
"14","16","5","環境很舒適，抹茶拿鐵和咖啡都很好喝，水準很高，巧克力布朗尼吃了很驚艷的好吃！貓咪真的好可愛❤️"
"14","29","5","上面的泡棉厚實蓬鬆。完美地結束了這趟海岸之旅。"
"15","1","5","Oops驚奇咖啡 位於花蓮軒轅路，靠近東大門夜市，是一家名字雖然有「咖啡」，但氛圍更像是結合酒吧和簡餐的特色店。菜單上食物比例也很高。店內裝潢相當有趣，用心到處都是細節，像是擺滿了各種公仔和模型，甚至還有一台老式街機放在廁所旁，滿滿的懷舊感和小驚喜，非常吸睛。 …"
"16","1","5","餐點還不錯吃！
然後店裡氛圍很舒服
服務員的服務也很好
甚至還放了一台機器可以玩哈哈"
"17","1","5","改裝後2.0版的驚奇真的好棒!!
餐點好吃! 鬆餅也好吃!!
維持一貫水準，甚至覺得更美味了 …"
"17","18","5","拉花很漂亮!
推薦給喜歡吃塔類甜點的你~
貓咪很可愛，當天有位年輕鮮肉帥哥被白貓寵幸，舒服地窩在腿上，好幸福啊!"
"17","55","5","今天被Dirty吸引住，改天再來喝手沖!

初次喝Dirty, 第一口熱熱Espresso …"
"17","38","5","今天不擼貓改摸狗🐶
這間咖啡廳充滿著我喜歡的元素
明亮. 溫暖. 藤編. 綠植. …"
"17","53","5","走過經過常錯過……但別怕，勇敢推門進去吧🤣
咖啡順口好喝，放涼的西達摩風味更明顯，喜歡!
老闆挑的音樂很舒服，令人放鬆。 …"
"17","32","5","一間很有溫度，幸福的咖啡廳~❤❤❤
午後隨意找了間有貓的店，今天生意超好，滿屋子客人!!!但我仍被老闆娘親切溫柔的笑容吸引住，決定留下坐吧檯區~
芝麻起士蛋糕濃香不膩，很紮實，我喜歡。咖啡順口好喝。 …"
"17","53","5","好咖啡和好氛圍，一個可以放慢腳步的空間，很喜歡老闆的手沖"
"17","27","5","綠意盎然，餐點好吃~ (嫩煎海鹽雞腿拼盤300-附南非國寶茶:可回沖)
生菜新鮮+有先調味拌好，油/醋比例剛好，很好入口。
雞腿排煎得焦黃香酥，沒有肉腥味。 …"
"17","49","5","的確如網友評論~
新.乾淨.漂亮+符合人體工學的厲害升降桌
老闆幽默好聊~
手沖咖啡香/滑/不苦澀, (菜鳥如我) 覺得好喝。"
"17","41","5","原味提拉米蘇帶有酒香，是成熟大人版。
(小孩可能不愛)
⊙甜點好吃，與花蓮市區一般咖啡廳有所區隔。
⊙內用環境也不錯，屬於長條型，比較特別~還有間像會議室的包廂。"
"17","23","5","像是回到家裡客廳一樣的舒適空間，手沖好喝，有貓❤️"
"17","15","5","很舒服的咖啡廳❤
老闆親切，店內氣氛不錯，西洋音樂好聽
環境舒適，拍照燈光也好看。 …"
"17","9","5","大推這間咖啡廳!
咖啡好喝，甜點好吃，老闆親切，店貓熱情親人~這家店必須火紅啊"
"17","52","5","有種溫暖舒服的氛圍，莫名就是喜歡!
初嚐音樂家系列手沖(巴哈)
中淺焙帶點酸味，剛入口有莓果香， …"
"18","1","4","舒適乾淨，店內裝潢與擺設會勾起妳的好奇心，讓妳想到處看看，食物不難吃但沒特別驚豔，是有在用心經營的店。"
"19","1","5","吃晚餐邊突然被魔術招待🪄✨
撲克牌咻咻咻～整桌氣氛直接升天😆💫 …"
"20","1","5","氣氛很讚，適合聚會的地方，店裡還有可愛的貓咪"
"21","1","5","身為花蓮人總是路過，一直沒來過驚奇咖啡，在店家重新裝潢後才來訪，餐點都非常美味，而且上餐速度很快
最推薦麻糬鬆餅，這次回訪就是為了鬆餅而來，是一吃驚艷、吃完會想念的味道
義大利麵的麵體是扁寬型，份量偏多，今天幫朋友慶生，兩個人點了主食加一份鬆餅才760，cp值很高✨朋友吃素，這邊提供的鍋邊素料理也很好吃唷！🪿🤍
服務人員態度很親切，店貓超級親人可愛😻 …"
"21","12","5","餐點真的非！常！好！吃！環境也很舒適可愛
我不知道原來花蓮的咖啡廳有這麼好吃的蛋糕🥹以前沒吃過不知道 原來離我這麼近～～下次還會再來 老闆和老闆娘都好親切！還好老闆貼心告訴我要趕快攪拌我的摩卡咖啡我差點就喝不到好喝的完整咖啡了😆😆！唯一不好意思的是跟朋友在店裡實在太吵了 久違的見面 不小心沒有克制音量 謝謝老闆娘跟老闆都很包容我們💗 …"
"22","1","4","高中回憶之一，雖然重新裝潢過，不過餐點還是一樣很不錯。多了可愛的貓咪跟公仔、遊戲機及漫畫書。
蠻像餐酒館的，不過價位不會太高。
美中不足的是只能付現，這年頭會隨時備有現金的人真的越來越少，希望之後可以電子支付或刷卡。"
"22","5","5","恬靜又舒適地方，座位不多，想看貓貓要靠緣分🤣

🍶伯爵奶茶很順口，奶泡綿密，甜度也很適中，很推薦搭配甜點一起飲用。 …"
"22","18","5","咖啡好喝，又可以看貓貓"
"22","12","5","在廟口紅茶及豪華戲院兩條路的交叉口，附近的人行道雖然重新規劃了，但大多建築因為是住家，還是一保有當年的樣子。
純白翻新的建築在一片古色古香之中卻不會很突兀。 …"
"23","1","4","價格偏高，沒有收服務費，氣氛環境很好
餐點好吃，鬆餅建議多人分享 吃多會膩
個人低消需要點一份餐或一杯飲料 合理 …"
"24","1","5","餐點精緻，屬法美式混合餐廳，佈置風格讓人有一見驚奇的感覺"
"25","1","5","整修後再訪，炸鬼頭刀蠻好吃的。酥皮濃湯普普玉米粒少得可憐。點餐+40元紅茶很小杯，但可無限續，只是店員會一直說等一下，等到沒來。"
"25","3","5","值得一訪再訪的好店。
餐點、飲料、服務完全無雷🧡
蘿蔔糕和炸豆腐意外的好吃！ …"
"25","11","3","去的時候甜點只有兩樣可選，最後只點了一杯黑糖還是焦糖的奶茶，不是很好喝。"
"25","27","4","環境很多植物很優美
餐點整體CP值低，尤其是雙拼單人套餐
義大利麵還可以，服務態度良好"
"25","31","4","非常大人口味
拿鐵偏苦
酒味提拉米蘇
整家店很可愛"
"25","18","5","有可愛的貓咪就給讚"
"26","1","5","貓咪很可愛餐點很好吃 店員也很可愛"
"27","1","5","重新裝潢之後環境變得好舒適，餐點仍然是美味可口，調漲些許價格，還能夠接受的範圍。再訪～同樣美味餐點，值得再次回味。"
"28","48","4","價位高，餐送完快一小時飲料才上
生吐司很香很好吃
鬆餅如果外脆更好"
"28","1","4","義大利麵很好吃，鬆餅普通。
不知道為什麼已經入座了店員還要我留姓氏和電話。"
"28","6","5","阿法卡多跟金時蒙布朗都很好吃！"
"29","1","5","裝潢後、實在太喜歡了😘
餐點也喜歡😘 …"
"30","1","5","久久沒來還是依然好吃😋
服務也很棒！推推 …"
"31","16","2","東西普通，要低消一杯飲料，鬆餅額外加冰淇淋要$40😅內部裝潢看起來很像餐廳，但裡面竟然有小黑蚊（還是果蠅？）一直飛來很煩，衛生有待加強…. …"
"31","50","5","點了草莓蛋糕、焦糖脆脆和抹茶牛奶～都蠻好看又好吃的😋服務人員都會細心的介紹餐點～
好像是他們準備上的小失誤，導致這兩個蛋糕中間隔很久，我還以為被忘記了🤣
後來很客氣還招待了阿里山高山紅茶和餅乾（可能他們發現我和其他人等太久w
服務超好的～店內位置不多、價格小貴！ …"
"31","45","5","點了肉桂捲、藍莓生乳酪和新品芭樂美式！店內有兩隻貓貓、外面還有一隻！

肉桂捲的話麵包體是好吃的，但裡面就沒什麼肉桂醬，主要還是搭配上面淋的會比較有味道，蠻可惜的。藍莓生乳酪的話蠻軟的，蠻可以的！ …"
"31","1","5","燉飯超好吃～麻糬鬆餅很特別，內餡有麻糬，加上奶油和冰淇淋～裡面裝潢很像酒吧w，有一隻可愛的店貓"
"31","7","4","坐在戶外，看著太平洋湛藍的海洋，心情很放鬆。"
"31","38","5","在小巷裡，有兩隻可愛的臘腸狗。可惜當天沒有藍莓生乳酪😭巴斯克不錯吃，可麗露外酥內軟也不錯，要低消一杯飲料，伯爵鮮奶茶個人覺得還好，不過是茶味比較重一點的那種。闆娘人很親切。 …"
"31","21","4","點了咖頌，比我想像的小杯！但是可頌和卡布奇諾都不錯！老闆親切還讓我坐在後面吃🥹 …"
"31","32","4","咖啡不錯喝價格，有點小貴！不知道要選哪種咖啡的話老闆娘很親切會跟你介紹～，甜點的話小可惜的是抹茶戚風蛋糕抹茶味沒那麼重，草莓生乳酪是冷凍拿出來的（個人認為要提前拿出來退冰，而不是客人點了才直接從冷凍櫃拿出來ಥ_ಥ）但不錯吃！有兩隻可愛貓貓！要低消飲料。"
"31","20","4","肉桂捲不會太貴（$90）～不是濕的那種，所以肉桂味比較沒這麼重有點可惜，老闆人很好（還請我試喝咖啡(⁎⁍̴̛ᴗ⁍̴̛⁎)，外帶不用低消飲料，外面有吧台可以坐。貼紙$20"
"31","3","5","已經二訪了～十月休息了一整個月！
菜單主餐的部分有些許改動。椒麻雞的部分跟之前差不多，不過薑黃飯變成白飯，然後沒有了蛋有點可惜。我點了店員推薦新的主餐漢堡肉佐紅酒醬，醬非常的好吃，畫龍點睛。
舒芙蕾的部分一樣很優秀，很軟Q，抹茶口味的抹茶控會喜歡。
內用提前訂位，平日蠻好訂的。價格的部分偏高，有收服務費，低消主餐、甜點、飲料三選一即可。"
"31","18","5","蛋糕好吃，拿鐵不錯，貓貓可愛，店內位置不多"
"31","44","3","點了新品北非蛋，就是義式紅肉醬（中間有蛋）和麵包，要$220覺得有點太貴了～

柳橙西西里的話覺得還可以。店內有隻黑柴，很乖可以摸！"
"31","30","3","點了肉桂捲和卡布奇諾，肉桂捲沒什麼肉桂味略顯遜色，卡布奇諾不錯蠻順口的，不過就是偏小杯～"
"31","27","4","是一家綠意盎然的店，有很多植物！點了嫩雞腿拼盤，有附南非國寶茶。東西還不錯吃～那個奶酪很好吃！但價格小貴"
"31","8","2","點了巴斯克和磅蛋糕，個人覺得磅蛋糕有一點點乾。總體而言偏普通。老闆很有個性…. 還會跑出去抽煙或睡覺，但是還請客人幫忙放水瓶蠻奇怪的"
"31","41","5","門在小巷那邊，裡面的格局是長型的，還有會議室蠻特別的，座位附近都有插頭可以使用，點了焙茶巴斯克、提拉米蘇、桂花包種茶麻糬達克瓦茲。巴斯克蠻綿密的，喜歡茶味的可以點這個口味；提拉米蘇的話中規中矩，份量算不小；達克瓦茲的話很特別，第一次吃～
低消的話一杯飲料或$120元，是不喝飲料喜歡甜點人的福音👍價格的話個人覺得小貴。 …"
"31","4","4","熱壓吐司好吃，本來要點雞腿的但剛好沒了，改點豬，一份$150。份量不多吃完有點空虛w 飲料點可可，就是一般的可可，建議點別的飲料比較好。店內有一隻超可愛的貓貓！"
"31","12","4","第一次去闆娘會介紹餐點～點了招牌咖啡（其實就是西西里咖啡w)蠻喜歡的，可惜的是冰度不可以調，不是很喜歡有冰塊的。

馬告可頌上面有鹹奶油，不會太膩，個人覺得中規中矩。 …"
"31","9","4","點了一塊蛋糕和當季水果鬆餅。蛋糕不錯吃，鬆餅的部份覺得不怎樣，剛好遇到水果是柳橙，很酸不好吃。

低消不用一定是飲料，是不喜歡喝飲料的人的福音！店內有可愛貓貓！"
"31","29","5","這間裝潢真的超讚，都是木頭製的，店內有可愛貓貓。甜點好吃，咖啡也不錯，低消不一定要飲料。吃完後可以到隔壁看海～很悠閒～"
"31","5","5","季節果醬生乳酪（檸檬柚子）和味增栗子磅蛋糕～兩個都不錯吃！後者很特別！店內有兩隻可愛貓貓，低消可以選甜點或飲料其一。"
"32","1","5","來過很多次了！餐點都很好吃😋特別推薦青醬焗烤 店貓很可愛也很乖 遇到可以摸摸 …"
"33","1","5","店面重新設計後，變得很明亮環境很舒適放鬆，餐點好吃，很適合約會或是朋友聚會的好餐廳。"
"33","26","5","環境令人舒適放鬆，店內可愛的柯基偶爾穿梭在身邊，司康吃起來特別驚艷，外皮酥脆內部鬆軟又帶點紮實，熱熱的吃起來特別好吃，店內座位不算多，但相比路易莎人山人海來說，還是這裡讓人有清靜放鬆的感覺。"
"34","1","5","整修後第一次來～餐點一樣好吃👍🏻
用餐環境氛圍很不錯👍🏻 …"
"35","1","5","環境變得很美式
餐點依舊是好好吃
推薦大家可以跟朋友一起來享用美食哦❤️❤️❤️"
"35","8","5","拿鐵好喝 氛圍很好"
"36","50","3","朋友送的彌月蛋糕，真的好好吃！
芝麻口味超濃郁，剛到手不到10分鐘只剩盤子了，一定要去造訪的店家😍 …"
"36","1","5","拿鐵咖啡不推☕️喝起來咖啡味牛奶味都蠻淡的！
義大利麵🍝好吃不膩，雞腿排煎的口感很好，嫩有汁邊緣酥香😋有附贈紅茶、推薦麻糬鬆餅！麻糬是黑糖口味，跟一般的鬆餅吃起來不太一樣，蠻特別價位也不貴～座位寬敞舒適、整體用餐愉快！還會再來光顧。 …"
"36","7","5","用心經營，手繪石頭好可愛🪨
離花蓮市區很近，風景好🌊
令人放鬆愉悅的地方～推👍🏻 …"
"36","26","4","熱熱的司康好吃～真材實料
建議櫥窗要裝門，這樣可以杜絕髒污蚊蟲也比較衛生，當天去購買有看到1、2隻果蠅🪰在司康周圍飛來飛去，建議改善會更好 …"
"36","13","5","店外觀看起來沒什麼，沒想到裡面空間大、園藝也做的很好，多肉植物應有盡有、環境有特色用心、有🐓🐰～喝完咖啡吃完餐點走走晃晃欣賞～餐點用心精緻、手做戚風蛋糕🍰
肉桂捲也蠻好吃的，熱熱的充滿肉桂香氣 …"
"36","15","4","鬆餅🧇好吃😋
店裡還有🐈坐陪 …"
"36","2","5","風景優美，店內氣氛好，餐點精緻新鮮好吃
咖啡蠻好喝的，不敢喝羊奶可換鮮奶"
"36","3","5","氣氛好！用心經營，東西好吃～值得造訪
推薦大家👍🏼 …"
"37","1","5","裝潢和擺飾很好看，夜晚燈光美氣氛佳，店內乾淨舒適、服務佳且餐點很棒，尤其鬆餅的餅皮，咬起來像麻糬Q彈。

重新裝潢後有像餐酒館的感覺，還有免費的格鬥遊戲機可以玩，空間寬敞乾淨。"
"37","13","5","看似簡單的門面，開門卻別有洞天，路邊有停車格、座位多、提供廁所和餐具及檸檬水需自取，後花園整理的很美，還有多肉植物、兔子，餐點養生且美味，甜點很喜歡。"
"37","2","5","窗戶旁的座位很搶手，可先電話預約，空間大座位多，室內戶外各種角度一次滿足。雖然單價不低但超美味，肉質脆軟又多汁，好拍照且服務好。"
"37","15","5","已來訪多次，超愛帕尼尼系列和鬆餅，還有可愛的店貓療癒身心，老闆很親切、環境整潔，有提供廁所。"
"37","4","5","在巷子停車較不方便，店外就有許多盆栽很療癒，進門後許多果實、木製家具都很美，雙人桌的設計像展示箱很特別，餐點項目不多但用料都很養生、美味，服務佳，店貓好可愛。"
"38","1","5","好好吃 尤其是麻吉鬆餅！！ 義大利麵也好吃
氛圍也好讚 貓貓也好可愛"
"39","1","5","來花蓮玩一定要試試 Opps 餐廳的青醬蛤蠣燉飯！滿滿蛤蠣超有誠意，新鮮又多汁，每一口都是海味爆發！青醬香氣超迷人，濃郁但完全不膩，燉飯煮得剛剛好，吸飽醬汁超入味。上面還點綴芝麻葉，視覺跟味覺都加分！餐廳氣氛很chill，適合朋友聚餐或情侶約會，服務也很貼心。吃完真的有種「啊～幸福」的感覺，推薦給來花蓮想找好吃義式料理的你！"
"40","1","4","鹹食松露薯條和炸魚塊還不錯，可惜鬆餅吃起來很像是微波加熱食品，不夠酥也少了一些現做鬆餅的香氣！"
"41","1","5","第一次到訪、友善的服務、美味的餐點。
三份主餐都很推，特別要推洋蔥圈（連冷了也好吃） 納入花蓮美食口袋名單"
"42","1","5","巧克力麻糬鬆餅，份量超級大，當飯後甜點吃感覺可以3-4個人點一份。鬆餅裡面會有麻糬，吃起來口感很讚，但巧克力有點甜，可以配個茶一起吃。"
"42","19","5","半寓檸檬塔酸酸的，很好吃，塔的部分也脆脆香香的！紅茶牛乳裡面有一種花味，很特別。老闆娘很有氣質，店裡還有可愛的卯咪會有桌邊服務～推推！"
"42","12","5","太妃糖牛奶超級好喝，微微甜但完全可以接受～布朗尼也超級好吃，不甜，又很香，是目前吃過的布朗尼第一名！店裡服務生態度親切很喜歡！（但我們這次坐窗邊有看到蠻多蟲子，會影響用餐心情😔） …"
"43","1","4","花蓮市少有的寵物友善餐廳，餐點還不錯，價格也不會貴。

2024年評論： …"
"44","1","5","久久沒來了，重新裝潢的氣氛感感覺非常棒，美味不用說，現場油煙味也減少。推推。"
"45","1","5","美式風格餐廳，服務生親切，週六晚餐用完有魔術師來桌邊互動表演，令人驚奇😮 …"
"46","1","4","有很多創意巧思設計的一家餐廳、裡面有超級多公仔跟收藏！然後廁所藏在比較裡面的地方！🤪很多人都拉錯門！我就是其中一個！小朋友不知道會不會有一點被佈置嚇到？？餐桌有一種港式茶餐廳復古感？檯燈真的跟小時候去的一些西餐館很類似！餐點也有蠻多選擇！義大利麵跟燉飯我跟朋友都選擇不同口味的！朋友是義大利料理的廚師覺得餐點也是中規中矩不會太難吃！有tabasco都是算不錯的了店內也有販售一些特別的小物、另外貓咪也非常可愛喔！很親人自己主動玩了我的鞋帶！眼睛圓圓很療癒、附近騎摩托車的話很好停車！一開始還有點找不到入口！謝謝好心的隔壁店員跟我們說 …"
"47","36","1","看評分不錯這次點了外送來嚐嚐，一杯170的咖啡喝起來跟水一樣…蛋糕吃起來還可以，但賣相不佳"
"47","1","5","☕️套餐都有附紅茶
蛋捲裡面是起司和玉米
口感軟嫩起司香也很濃👍 …"
"47","22","5","焙茶拿鐵好好喝，有焙茶的香氣，柔順的口感。"
"47","9","5","店貓可愛、空間大、廁所乾淨"
"47","7","5","有看到評論提到商家服務態度差東西貴，自己消費後覺得完全沒有這回事，從帶位出餐到離開都覺得賓至如歸，也有評論提到服務不夠好餐盤要自己收回櫃檯，星巴克麥當勞不也要自己收。餐點沒有非常便宜，但一杯飲料100多可以吹海風看無敵海景，絕對是划算的"
"48","1","5","期待米食套餐
氣氛好 …"
"49","1","5","超愛這間店的！大學吃到現在！從原本改裝前到現在店內紛圍感極佳😍 超愛店內的鬆餅～還有餐點^_^ …"
"50","1","5","鬆餅真的是必點
炸物小點我覺得也不錯👍
但牛排主餐就沒那麼優秀了😭 …"
"51","1","4","朋友推介的店位在軒轅路警局對面，美式風格餐廳是朋友口中美味店家，就餐點份量與價位cp值是高的，不管焗烤還是義大利麵份量十足，口味不錯，聖誕前夕店內也用心佈置出氣氛，可以喔！"
"52","1","5","餐點好吃、環境舒適且服務態度非常好👍
更棒的是寵物友善讓我能帶著愛犬一起去共享美食🙂 …"
"53","1","5","松露雞腿燉飯👍肉很嫩
鬆餅必點
還有貓貓可以嚕🐱 …"
"54","1","5","好酷的餐廳，餐點好吃，環境舒適，每個桌位都有自己的主題感，很不錯的體驗"
"54","11","1","只能說肉桂捲真的又貴又不合我的胃口，可能是佐檸檬糖霜所以味道非常酸甚至多過肉桂味
低消是每個人一定要點一杯飲料。但是飲料真的非常高單價，而且並沒有特別好喝，建議如果不想喝飲料的人外帶就好。
小早餐那盤早午餐也非常沒誠意，一盤200但是是非常健康簡單到不行的味道，可能跟一般早午餐的那種印象有點天差地遠。"
"54","22","5","美式不會算也不澀，很順口，加50元可購入可麗露，可麗露口感很特別，推推！也有在賣豆子跟濾掛！"
"55","1","5","第一次來先被外面的門驚喜到  因為門把的方向會誤導開的方式  餐點超好吃  飯後的魔術真的是超驚喜  以為只是跟平常一樣吃飯就結束的日子  沒想到收穫滿滿  滿滿的驚奇感☺️"
"56","1","5","偶爾會突然想要來坐坐，吃早午餐或下午茶，店內很多擺飾品，等餐聊天的途中可以拍拍照，參觀一下店內擺飾，第一次來的時候看到這麼多花樣蠻興奮的，店內有養寵物不過要偶爾才看得到，常常躲起來，情侶 家庭 朋友來用餐都適合。（不過大家要保持用餐禮儀不要太吵XD …"
"57","1","5","餐點口味很好吃，若於尖峰用餐時間需要事前訂位較佳，不然店內坐滿只能排隊了。

店內坐位很舒適不擁擠，音樂也很輕鬆，下午離峰時段來用餐很愜意。 …"
"57","3","5","預約訂位才不用現場候位。茄子飯超開胃，茄子大塊又新鮮，口感脆脆的很入味很好吃，推薦。舒芙蕾好吃到又再點一份來吃，越吃越愛，份量很足，1-2人可以吃到心理很滿足。白天環境乾淨明亮，採光很好，晚上則有點靜謐，覺得獨自來享用咖啡飲品也不錯。"
"58","1","5","不錯吃的餐廳，店員服務態度也很好！甜點跟正餐表現都不錯，鬆餅的內餡有麻糬很特別！

建議要先預約訂位，在用餐期間看到客人不斷走進來，都被回絕沒有位子，都被預約走了，若是有意要來用餐，保險還是先打個電話為佳。"
"59","1","4","餐廳位於東大門夜市旁邊，附近白線可停車或是夜市停車場。
店裡擺設每一區座位都有不一樣的主體，但整体看起來也不會太突兀。門口大門開啟位置會被把手惡搞，蠻有趣的，店裡有種陳舊的味道（是聞起來，並不是看起來）。 …"
"60","1","5","裝新裝潢後第一次來用餐🍽️
餐點都很好吃😋有遊戲機可以打太酷啦！ …"
"61","1","5","餐點好吃，湯、沙拉、燉飯、漢堡、鬆餅都很好吃！主餐很平價沒想到一點都不讓人失望！鬆餅裡面有包麻糬很特別，搭配冰淇淋超讚的！餐點CP值很高，真的是美味又划算的首選！服務好又沒收服務費，還是寵物友善餐廳，一級棒！！"
"62","1","5","鬆餅很特別
不是酥脆的口感裡面都包著Q彈的麻吉
季節限定的草莓鬆餅好吃 …"
"62","18","4","一間小而美且帶點文青風的貓咖啡店
店門口的左手邊有先告知“內有貓x2”
就是名符其實的網美貓，不怕生又超可愛😃 …"
"62","3","5","小小文青風格的店
店內設計擺設看得出是很用心規劃
服務很棒，餐點好拍又美味 …"
